Time (UTC),Asset,Price,12h Log Return,24h Realized Vol
2025-12-10 00:00,BTC,92690.41,0.025113287959832302,0.006932
2025-12-10 01:00,BTC,92142.99,0.017036391780499226,0.007035
2025-12-10 02:00,BTC,92325.45,0.02071616934311026,0.006971
2025-12-10 03:00,BTC,92512.32,0.023554845084185316,0.006971
2025-12-10 00:00,SPX,682.92,-0.0031594537814666735,0.000678
2025-12-10 01:00,SPX,682.73,-0.0038721664081064924,0.00064
2025-12-10 02:00,SPX,682.84,-0.003503972263672457,0.000637
2025-12-10 03:00,SPX,683.21,-0.002002399914183294,0.000566
2025-12-09 18:00,US10Y,4.17,0.00034889380489006055,0.001998
2025-12-09 19:00,US10Y,4.19,0.0036106708688802133,0.002058
2025-12-09 20:00,US10Y,4.18,0.003326171463828223,0.002058
2025-12-09 21:00,US10Y,4.18,0.0028654255316810924,0.002056
