datetime,BTC_log_ret_12h,BTC_vol_12h,SPX_vol_12h,BTC_mom_12h,SPX_mom_12h,BTC_RSI,SPX_RSI,US10Y_RSI
2025-08-04 14:00,0.0021,low_vol,high_vol,neutral_mom,pos_mom,61.996,82.8086,100.0
2025-08-04 15:00,-0.0006,low_vol,high_vol,neutral_mom,pos_mom,46.7162,81.5789,100.0
2025-08-04 16:00,0.0022,low_vol,high_vol,neutral_mom,pos_mom,53.1782,82.8349,37.6163
2025-08-04 17:00,0.008,low_vol,high_vol,pos_mom,pos_mom,59.3123,85.288,37.5181
2025-08-04 18:00,0.007,low_vol,high_vol,pos_mom,pos_mom,62.3275,81.5897,35.3434
2025-08-04 19:00,0.0045,low_vol,high_vol,pos_mom,pos_mom,61.018,82.9274,35.0202
2025-08-04 20:00,0.0008,low_vol,high_vol,neutral_mom,pos_mom,56.6634,89.4335,33.9796
2025-08-04 21:00,0.0021,low_vol,high_vol,neutral_mom,pos_mom,56.7248,90.0937,33.9796
2025-08-04 22:00,0.0069,low_vol,high_vol,pos_mom,pos_mom,57.964,89.7805,33.9796
2025-08-04 23:00,0.0095,low_vol,high_vol,pos_mom,pos_mom,63.2049,86.2858,33.9796
2025-08-05 00:00,0.0048,low_vol,high_vol,pos_mom,pos_mom,62.1578,86.6595,33.9796
2025-08-05 01:00,0.0038,low_vol,high_vol,neutral_mom,pos_mom,60.2471,88.0282,33.9796
2025-08-05 02:00,-0.0019,low_vol,low_vol,neutral_mom,pos_mom,53.2648,90.9663,33.9796
2025-08-05 03:00,-0.0003,low_vol,low_vol,neutral_mom,pos_mom,54.4749,90.9217,33.9796
2025-08-05 04:00,-0.0051,low_vol,low_vol,neg_mom,pos_mom,38.6893,83.6389,17.6469
2025-08-05 05:00,-0.0085,low_vol,low_vol,neg_mom,pos_mom,42.6564,83.6535,0.0
2025-08-05 06:00,-0.007,low_vol,low_vol,neg_mom,pos_mom,42.5229,68.2999,0.0
2025-08-05 07:00,-0.0068,low_vol,mid_vol,neg_mom,pos_mom,28.3824,70.3039,0.0
2025-08-05 08:00,-0.007,low_vol,low_vol,neg_mom,neutral_mom,27.3255,65.0811,0.0
2025-08-05 09:00,-0.0046,low_vol,mid_vol,neutral_mom,neutral_mom,37.7518,67.7363,0.0
2025-08-05 14:00,-0.0028,mid_vol,mid_vol,neutral_mom,neutral_mom,40.6815,54.1957,100.0
2025-08-05 15:00,-0.0149,high_vol,high_vol,neg_mom,neg_mom,30.6978,32.0028,47.8258
2025-08-05 16:00,-0.0117,high_vol,high_vol,neg_mom,neg_mom,31.198,32.9983,53.8462
2025-08-05 17:00,-0.0103,high_vol,high_vol,neg_mom,neg_mom,34.2076,35.9033,49.7412
2025-08-05 18:00,-0.0069,high_vol,high_vol,neg_mom,neg_mom,43.5527,42.035,54.8059
2025-08-05 19:00,-0.0048,high_vol,high_vol,neutral_mom,neg_mom,42.8233,35.5525,48.5839
2025-08-05 20:00,-0.0032,high_vol,high_vol,neutral_mom,neg_mom,41.6991,36.4796,51.3402
2025-08-05 21:00,-0.0052,high_vol,high_vol,neg_mom,neg_mom,44.8054,31.9,51.3402
2025-08-05 22:00,-0.0096,high_vol,high_vol,neg_mom,neg_mom,45.9006,33.3473,51.3402
2025-08-05 23:00,-0.0077,high_vol,high_vol,neg_mom,neg_mom,46.5716,29.473,51.3402
2025-08-06 00:00,-0.0061,high_vol,high_vol,neg_mom,neg_mom,43.5219,29.9815,51.3402
2025-08-06 01:00,-0.0005,high_vol,high_vol,neutral_mom,neg_mom,39.3669,24.8311,51.3402
2025-08-06 02:00,-0.0049,mid_vol,high_vol,neutral_mom,neg_mom,38.9949,28.0779,51.3402
2025-08-06 03:00,0.0053,low_vol,mid_vol,pos_mom,neutral_mom,45.956,30.029,51.3402
2025-08-06 04:00,0.0052,low_vol,mid_vol,pos_mom,neutral_mom,37.6137,29.8622,30.9952
